対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,交通手段２（目的地から）,タクシー,路線バス,徒歩,レンタサイクル,交通の満足度,交通の満足度の理由,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
富山,2026/04/03 00:00:00,鳥取県,女,40代,パート・アルバイト,6:無回答,,3泊,長野県,,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,5,,１回目,,,温泉や露天風呂,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"宿泊予約Webサイト, 口コミ（家族）",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ない,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","30,000円以上 40,000円未満",,,"3,000円以上 5,000円未満","宇奈月温泉, 黒部ダム, 山町筋 土蔵造りの町並み",居酒屋・レストラン（チェーン店）,食べていない,食べていない,食べていない,4,4,4,4,4,,,人がよい,,,,7,来年もまた行きたい,,朝日町,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,富山県,女,50代,会社員,1:300万未満,,日帰り,,,,,,,,,,,,自家用車,1,0,0,0,0,0,0,"自家用車, 在来線・私鉄・路面電車",0,0,0,0,4,,２回目,,,"地元の美味しいものを食べる, 地域の人と交流し、生活文化を体験する",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram, 富山県観光公式のパンフレット",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ない,,,"1,000円以上 3,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",,,"1,000円以上 3,000円未満",氷見漁港場外市場 ひみ番屋街,食べていない,食べていない,食べていない,食べていない,4,4,4,4,4,,,良かった,なし,氷見牛,海,9,機会があれば行きたい,交通便がいまいち,氷見市,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,大阪府,女,40代,会社員,2:300～500万円,,4泊以上,福井県,,4泊以上,,,,,,,,,在来線,0,0,0,1,0,0,0,在来線・私鉄・路面電車,0,0,0,0,3,,２回目,,,地域の人と交流し、生活文化を体験する,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram, YOUTUBE, Googleマップ（施設の口コミ・写真・営業時間など）, 富山県観光公式サイト「とやま観光ナビ」, 口コミ（友人・恋人）, 富山県観光公式のパンフレット",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,ある,徳島県,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",,,"5,000円以上 10,000円未満","あさひ舟川「春の四重奏」, 井波エリア（井波別院瑞泉寺・八日町通りなど）, 宇奈月温泉, ヒスイ海岸（宮崎・境海岸）",専門店,専門店,"甘エビ, バイガイ",バイガイ,4,3,3,3,4,,,,鉄道が複雑,ばい飯,北アルプスの山々の景色,8,機会があれば行きたい,,黒部市,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,愛知県,女,40代,医療機関職員,2:300～500万円,,1泊,富山県以外には宿泊しない,,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,公共交通を利用していない,,１０回目以上,,,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト, 宿泊予約Webサイト, 富山県観光公式のパンフレット",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,ある,長野県,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",,,"1,000円以上 3,000円未満",観光地・観光施設には訪問していない,専門店,持ち帰り（道の駅・スーパーなど）,"シロエビ, ホタルイカ",ホタルイカ,5,4,4,3,4,,,富山は美味しいもの、お宿、温泉が良い,,ホタルイカ,,10,来年もまた行きたい,お寺、神社もたくさんあるし、冬の景色は格別,朝日町,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,京都府,女,60代,定年退職,3:600～1000万円,,2泊,富山県以外には宿泊しない,,2泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,4,,２回目,,,"宿でのんびり過ごす, 温泉や露天風呂, 花見や紅葉などの自然鑑賞",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト, 口コミ（家族）, 富山県観光公式のパンフレット",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ない,,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","40,000円以上 50,000円未満",,,"5,000円以上 10,000円未満","あさひ舟川「春の四重奏」, 岩瀬エリア, 富山城, 富岩運河環水公園",食べていない,専門店,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ, 甘エビ, ホタルイカ","ブリ, シロエビ, 甘エビ, ホタルイカ",5,5,4,4,5,,,桜が満開となり、最高でした。,,刺身,松川の船,10,来年もまた行きたい,全て素晴らしいです。,富山市,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,石川県,無回答,70代,定年退職,6:無回答,,日帰り,,,,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,公共交通を利用していない,,３回目,,,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Googleマップ（施設の口コミ・写真・営業時間など）, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト, メルマガ（県・市町村）, テレビ番組, 雑誌の特集記事, 旅行会社のパンフレット, 旅行ガイドブック, テレビ・ラジオ",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,ない,,,使わない,"5,000円以上 10,000円未満","20,000円以上 30,000円未満",,,"1,000円以上 3,000円未満","雨晴海岸, 金屋町 千本格子の家並み, 国宝 高岡山瑞龍寺, 高岡大仏, 氷見温泉郷, 氷見漁港場外市場 ひみ番屋街, 山町筋 土蔵造りの町並み",回転寿司店（地元）,回転寿司店（地元）,"ブリ, 紅ズワイガニ, ホタルイカ, ウマヅラハギ","ブリ, 紅ズワイガニ",4,4,4,4,3,,,海越しの立山、国宝、回転寿司(地元)でも美味しい,観光スボットを回る公共交通や周遊バスがなく、不便。,水、米、刺身、勝駒,雨晴、瑞龍寺,8,機会があれば行きたい,土地勘のない観光客がひとめで分かる、ルートにそった案内表示があるとよい。(たどって行けば、観光スボットを回ることができる),高岡市,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,茨城県,男,50代,自由業,4:1000～2000万円,,1泊,岐阜県,,富山県内には宿泊しない,,,,,,,,,新幹線,0,0,1,0,0,0,0,旅行会社ツアーバス,0,0,0,0,4,,３回目,,,名所、旧跡、寺社仏閣の観光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Googleマップ（施設の口コミ・写真・営業時間など）, 旅行会社のパンフレット",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ない,,,"1,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",,,"1,000円未満",五箇山,食べていない,食べていない,食べていない,食べていない,5,5,5,5,5,,,富山品質よい,なし,米,五箇山,10,機会があれば行きたい,海の幸堪能したい,富山市,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,東京都,女,40代,会社員,1:300万未満,,2泊,富山県以外には宿泊しない,,2泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,4,,２回目,,,"温泉や露天風呂, 地元の美味しいものを食べる",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram, Googleマップ（施設の口コミ・写真・営業時間など）, 宿泊予約Webサイト, 口コミ（家族）",0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ない,,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","40,000円以上 50,000円未満",,,"3,000円以上 5,000円未満","魚津水族館, 海の駅蜃気楼",専門店,食べていない,"紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, バイガイ","シロエビ, 甘エビ, バイガイ",5,5,5,5,5,,,,,,,10,来年もまた行きたい,,富山市,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,富山県,女,50代,会社員,2:300～500万円,,1泊,富山県以外には宿泊しない,,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,5,,１０回目以上,,,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 買い物（アウトレットなど）, 買い物（工芸品・特産品など）",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"富山県内市町村の観光公式サイト, 宿泊予約Webサイト, 口コミ（友人・恋人）",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,ある,石川県,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",,,"1,000円以上 3,000円未満","富山市ガラス美術館, 松川遊覧船",居酒屋・レストラン（チェーン店）,持ち帰り（道の駅・スーパーなど）,"ブリ, シロエビ, ホタルイカ, バイガイ","ブリ, シロエビ",5,5,4,4,5,,,松川べりの桜が綺麗で、富山駅前の桜も見頃で、富山の美味しい魚を食べながら花見ができたから。,,白エビ,松川べり遊覧船,10,富山県在住,短時間で体験できる場所を富山駅前に作ってほしい。,富山市,,,,,,,,,,,,,,
富山,2026/04/03 00:00:00,東京都,女,50代,会社員,2:300～500万円,,2泊,石川県,,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,レンタカー,0,0,0,0,3,,２回目,,,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram, 生成AI（ChatGPT、Gemini、検索結果のAI要約など）, 宿泊予約Webサイト, テレビ番組",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ない,,,"1,000円以上 3,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",,,"1,000円以上 3,000円未満","雨晴海岸, 岩瀬エリア, 新湊大橋, 新湊きっときと市場, 富山城, 富岩運河環水公園, 松川遊覧船",食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ","ブリ, シロエビ, 甘エビ, ホタルイカ",5,4,4,4,4,,,"美味しい海の幸をたくさん食べれたから
",特になし,白エビ,雨晴海岸,8,機会があれば行きたい,,富山市,,,,,,,,,,,,,,
